# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\DIPS
# DB Description,DIPS Privacy Bounce Tracker
# Table,bounces
# Table Description,bounces
# Total Rows in DB,260
# Export Timestamp,2026-04-02 09:55:54 UTC
# MD5 Hash of Source DB,258bad98485ff3b2d976702089619d40

site,first_site_storage_time,last_site_storage_time,first_user_activation_time,last_user_activation_time,first_stateful_bounce_time,last_stateful_bounce_time,first_bounce_time,last_bounce_time,first_web_authn_assertion_time,last_web_authn_assertion_time,first_site_storage_time__HUMAN,first_site_storage_time__FORMAT,last_site_storage_time__HUMAN,last_site_storage_time__FORMAT,first_user_activation_time__HUMAN,first_user_activation_time__FORMAT,last_user_activation_time__HUMAN,last_user_activation_time__FORMAT,first_stateful_bounce_time__HUMAN,first_stateful_bounce_time__FORMAT,last_stateful_bounce_time__HUMAN,last_stateful_bounce_time__FORMAT,first_bounce_time__HUMAN,first_bounce_time__FORMAT,last_bounce_time__HUMAN,last_bounce_time__FORMAT,first_web_authn_assertion_time__HUMAN,first_web_authn_assertion_time__FORMAT,last_web_authn_assertion_time__HUMAN,last_web_authn_assertion_time__FORMAT
velociraptor.app,13401706908140849,13401706908140849,13401707438840805,13401707438840805,,,,,,,2025-09-07 08:21:48 UTC,WebKit (Chrome),2025-09-07 08:21:48 UTC,WebKit (Chrome),2025-09-07 08:30:38 UTC,WebKit (Chrome),2025-09-07 08:30:38 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
talentlyft.com,13401747480500759,13401767760763725,13401747490902487,13401748523147462,,,,,,,2025-09-07 19:38:00 UTC,WebKit (Chrome),2025-09-08 01:16:00 UTC,WebKit (Chrome),2025-09-07 19:38:10 UTC,WebKit (Chrome),2025-09-07 19:55:23 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
myworkdaygadgets.com,13401900194962407,13401900194962407,,,,,,,,,2025-09-09 14:03:14 UTC,WebKit (Chrome),2025-09-09 14:03:14 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
beamery.com,13401906741702187,13401906741702187,13401906746943171,13401906746943171,,,,,,,2025-09-09 15:52:21 UTC,WebKit (Chrome),2025-09-09 15:52:21 UTC,WebKit (Chrome),2025-09-09 15:52:26 UTC,WebKit (Chrome),2025-09-09 15:52:26 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
fidelity.com,13401906560528085,13401906790537373,13401906564299451,13401906794564995,,,,,,,2025-09-09 15:49:20 UTC,WebKit (Chrome),2025-09-09 15:53:10 UTC,WebKit (Chrome),2025-09-09 15:49:24 UTC,WebKit (Chrome),2025-09-09 15:53:14 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
www.gov.ie,13401906887187925,13401906947885702,13401906901415796,13401906953422929,,,,,,,2025-09-09 15:54:47 UTC,WebKit (Chrome),2025-09-09 15:55:47 UTC,WebKit (Chrome),2025-09-09 15:55:01 UTC,WebKit (Chrome),2025-09-09 15:55:53 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
tomsguide.com,13401907777273377,13401907789161210,13401907779426759,13401907779426759,,,,,,,2025-09-09 16:09:37 UTC,WebKit (Chrome),2025-09-09 16:09:49 UTC,WebKit (Chrome),2025-09-09 16:09:39 UTC,WebKit (Chrome),2025-09-09 16:09:39 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
24hrcareservices.es,13401909373555329,13401909470347572,13401909377732400,13401909440701299,,,,,,,2025-09-09 16:36:13 UTC,WebKit (Chrome),2025-09-09 16:37:50 UTC,WebKit (Chrome),2025-09-09 16:36:17 UTC,WebKit (Chrome),2025-09-09 16:37:20 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
amgen.com,13401910444065668,13401911787052483,13401910507451410,13401911792581013,,,,,,,2025-09-09 16:54:04 UTC,WebKit (Chrome),2025-09-09 17:16:27 UTC,WebKit (Chrome),2025-09-09 16:55:07 UTC,WebKit (Chrome),2025-09-09 17:16:32 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
livedirects.com,13401912731450799,13401912761298553,13401912735378021,13401912763303056,,,,,,,2025-09-09 17:32:11 UTC,WebKit (Chrome),2025-09-09 17:32:41 UTC,WebKit (Chrome),2025-09-09 17:32:15 UTC,WebKit (Chrome),2025-09-09 17:32:43 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
cognizant.com,13401911851847740,13401912917622709,13401911860189635,13401912526029774,,,,,,,2025-09-09 17:17:31 UTC,WebKit (Chrome),2025-09-09 17:35:17 UTC,WebKit (Chrome),2025-09-09 17:17:40 UTC,WebKit (Chrome),2025-09-09 17:28:46 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
xploreforensics.com,13401912951133150,13401913628829984,13401912958391486,13401913860028197,,,,,,,2025-09-09 17:35:51 UTC,WebKit (Chrome),2025-09-09 17:47:08 UTC,WebKit (Chrome),2025-09-09 17:35:58 UTC,WebKit (Chrome),2025-09-09 17:51:00 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
facebook.com,13401907912480257,13401914074037667,,,,,,,,,2025-09-09 16:11:52 UTC,WebKit (Chrome),2025-09-09 17:54:34 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
x.com,13401914086482638,13401914282161378,,,,,,,,,2025-09-09 17:54:46 UTC,WebKit (Chrome),2025-09-09 17:58:02 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
roadstatusnigeria.streamlit.app,13401914014581948,13401914799400320,13401914049961045,13401914794307013,,,,,,,2025-09-09 17:53:34 UTC,WebKit (Chrome),2025-09-09 18:06:39 UTC,WebKit (Chrome),2025-09-09 17:54:09 UTC,WebKit (Chrome),2025-09-09 18:06:34 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
cyber5w.com,13401913872687012,13401917348138223,13401913895871576,13401914807798852,,,,,,,2025-09-09 17:51:12 UTC,WebKit (Chrome),2025-09-09 18:49:08 UTC,WebKit (Chrome),2025-09-09 17:51:35 UTC,WebKit (Chrome),2025-09-09 18:06:47 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
quora.com,13401976233130139,13401976234680969,13401976237841364,13401976303545664,,,,,,,2025-09-10 11:10:33 UTC,WebKit (Chrome),2025-09-10 11:10:34 UTC,WebKit (Chrome),2025-09-10 11:10:37 UTC,WebKit (Chrome),2025-09-10 11:11:43 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
cam.ac.uk,13401977053444985,13401977343273199,13401977058678655,13401977366508011,,,,,,,2025-09-10 11:24:13 UTC,WebKit (Chrome),2025-09-10 11:29:03 UTC,WebKit (Chrome),2025-09-10 11:24:18 UTC,WebKit (Chrome),2025-09-10 11:29:26 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
duckduckgo.com,13401978741553545,13401978741553545,,,,,,,,,2025-09-10 11:52:21 UTC,WebKit (Chrome),2025-09-10 11:52:21 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
informer.com,13401979466929547,13401979760085014,13401979468209988,13401979747754188,,,,,,,2025-09-10 12:04:26 UTC,WebKit (Chrome),2025-09-10 12:09:20 UTC,WebKit (Chrome),2025-09-10 12:04:28 UTC,WebKit (Chrome),2025-09-10 12:09:07 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
exterro.com,13401979449328595,13401979851963302,13401979454008867,13401979849783668,,,,,,,2025-09-10 12:04:09 UTC,WebKit (Chrome),2025-09-10 12:10:51 UTC,WebKit (Chrome),2025-09-10 12:04:14 UTC,WebKit (Chrome),2025-09-10 12:10:49 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
beavel.com,13401985409643927,13401985409643927,13401985412055069,13401985412055069,,,,,,,2025-09-10 13:43:29 UTC,WebKit (Chrome),2025-09-10 13:43:29 UTC,WebKit (Chrome),2025-09-10 13:43:32 UTC,WebKit (Chrome),2025-09-10 13:43:32 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
securethemasses.com,13401985451204252,13401985453865794,,,,,,,,,2025-09-10 13:44:11 UTC,WebKit (Chrome),2025-09-10 13:44:13 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
tzworks.com,,,13401985846615642,13401985846615642,,,,,,,,null,,null,2025-09-10 13:50:46 UTC,WebKit (Chrome),2025-09-10 13:50:46 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
buymeacoffee.com,13402007236395747,13402007238061501,13402007240841380,13402007240841380,,,,,,,2025-09-10 19:47:16 UTC,WebKit (Chrome),2025-09-10 19:47:18 UTC,WebKit (Chrome),2025-09-10 19:47:20 UTC,WebKit (Chrome),2025-09-10 19:47:20 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
bayada.com,13402008617298398,13402009032217222,13402008620800005,13402008639422999,,,,,,,2025-09-10 20:10:17 UTC,WebKit (Chrome),2025-09-10 20:17:12 UTC,WebKit (Chrome),2025-09-10 20:10:20 UTC,WebKit (Chrome),2025-09-10 20:10:39 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
own3r.me,13402080755582813,13402080964320116,13402080759418383,13402080948059022,,,,,,,2025-09-11 16:12:35 UTC,WebKit (Chrome),2025-09-11 16:16:04 UTC,WebKit (Chrome),2025-09-11 16:12:39 UTC,WebKit (Chrome),2025-09-11 16:15:48 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
cybertriage.com,13401894114617081,13402172678266201,13401894118500450,13402172617076547,,,,,,,2025-09-09 12:21:54 UTC,WebKit (Chrome),2025-09-12 17:44:38 UTC,WebKit (Chrome),2025-09-09 12:21:58 UTC,WebKit (Chrome),2025-09-12 17:43:37 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
resumeworded.com,13402172725127700,13402173371768527,13402172756483578,13402173381415252,,,,,,,2025-09-12 17:45:25 UTC,WebKit (Chrome),2025-09-12 17:56:11 UTC,WebKit (Chrome),2025-09-12 17:45:56 UTC,WebKit (Chrome),2025-09-12 17:56:21 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
icims.com,13402173556648969,13402174055963548,13402173586162172,13402174111611372,,,,,,,2025-09-12 17:59:16 UTC,WebKit (Chrome),2025-09-12 18:07:35 UTC,WebKit (Chrome),2025-09-12 17:59:46 UTC,WebKit (Chrome),2025-09-12 18:08:31 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
smartrecruiters.com,13401900311240331,13402174308982387,13401900319417936,13402174313438827,,,,,,,2025-09-09 14:05:11 UTC,WebKit (Chrome),2025-09-12 18:11:48 UTC,WebKit (Chrome),2025-09-09 14:05:19 UTC,WebKit (Chrome),2025-09-12 18:11:53 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
oraclecloud.com,13402174222787566,13402174450347745,13402174360559162,13402174925646922,,,,,,,2025-09-12 18:10:22 UTC,WebKit (Chrome),2025-09-12 18:14:10 UTC,WebKit (Chrome),2025-09-12 18:12:40 UTC,WebKit (Chrome),2025-09-12 18:22:05 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
myworkdayjobs.com,13401900109945347,13402178263947258,13401900118583206,13402178267381784,,,,,,,2025-09-09 14:01:49 UTC,WebKit (Chrome),2025-09-12 19:17:43 UTC,WebKit (Chrome),2025-09-09 14:01:58 UTC,WebKit (Chrome),2025-09-12 19:17:47 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
thalesgroup.com,13402198692800373,13402198692800373,13402198686533160,13402198686533160,,,,,,,2025-09-13 00:58:12 UTC,WebKit (Chrome),2025-09-13 00:58:12 UTC,WebKit (Chrome),2025-09-13 00:58:06 UTC,WebKit (Chrome),2025-09-13 00:58:06 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
enterprise.gov.ie,13401906987384991,13402416337942823,13401908057659933,13401909218399154,,,,,,,2025-09-09 15:56:27 UTC,WebKit (Chrome),2025-09-15 13:25:37 UTC,WebKit (Chrome),2025-09-09 16:14:17 UTC,WebKit (Chrome),2025-09-09 16:33:38 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
writefull.com,13402416347495355,13402416347495355,,,,,,,,,2025-09-15 13:25:47 UTC,WebKit (Chrome),2025-09-15 13:25:47 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
euromagopportunities.org,13401441077825557,13402416438713858,13401441114497887,13401441390433862,,,,,,,2025-09-04 06:31:17 UTC,WebKit (Chrome),2025-09-15 13:27:18 UTC,WebKit (Chrome),2025-09-04 06:31:54 UTC,WebKit (Chrome),2025-09-04 06:36:30 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
webcontainer-api.io,13399925311322544,13402432265218096,,,,,,,,,2025-08-17 17:28:31 UTC,WebKit (Chrome),2025-09-15 17:51:05 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
devtools,13399747591777768,13402432343980059,,,,,,,,,2025-08-15 16:06:31 UTC,WebKit (Chrome),2025-09-15 17:52:23 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
convex.app,13402418909846221,13402433422034164,13402418912591770,13402433427069154,,,,,,,2025-09-15 14:08:29 UTC,WebKit (Chrome),2025-09-15 18:10:22 UTC,WebKit (Chrome),2025-09-15 14:08:32 UTC,WebKit (Chrome),2025-09-15 18:10:27 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
nura-dev-eight.vercel.app,,,13402494270811453,13402494270811453,,,,,,,,null,,null,2025-09-16 11:04:30 UTC,WebKit (Chrome),2025-09-16 11:04:30 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
nura-structure.vercel.app,,,13402494477584193,13402494477584193,,,,,,,,null,,null,2025-09-16 11:07:57 UTC,WebKit (Chrome),2025-09-16 11:07:57 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
vercel.com,13402080495902649,13402496845561560,13402080499756174,13402496687448306,,,,,,,2025-09-11 16:08:15 UTC,WebKit (Chrome),2025-09-16 11:47:25 UTC,WebKit (Chrome),2025-09-11 16:08:19 UTC,WebKit (Chrome),2025-09-16 11:44:47 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
besanttechnologies.com,13402504306746065,13402504307891038,,,,,,,,,2025-09-16 13:51:46 UTC,WebKit (Chrome),2025-09-16 13:51:47 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
cloudflare.com,13399998161456114,13402509033187519,,,,,,,,,2025-08-18 13:42:41 UTC,WebKit (Chrome),2025-09-16 15:10:33 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
amazon.jobs,13402504400745461,13402522824495906,13402504326032435,13402522838529792,,,,,,,2025-09-16 13:53:20 UTC,WebKit (Chrome),2025-09-16 19:00:24 UTC,WebKit (Chrome),2025-09-16 13:52:06 UTC,WebKit (Chrome),2025-09-16 19:00:38 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
netwrix.com,13402523001172304,13402523020185879,13402523075267128,13402523075267128,,,,,,,2025-09-16 19:03:21 UTC,WebKit (Chrome),2025-09-16 19:03:40 UTC,WebKit (Chrome),2025-09-16 19:04:35 UTC,WebKit (Chrome),2025-09-16 19:04:35 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
convex.dev,13402077831668985,13402526628393144,13402077843995964,13402496238619557,,,,,,,2025-09-11 15:23:51 UTC,WebKit (Chrome),2025-09-16 20:03:48 UTC,WebKit (Chrome),2025-09-11 15:24:03 UTC,WebKit (Chrome),2025-09-16 11:37:18 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
doubleclick.net,13402526644578114,13402526644578114,,,,,,,,,2025-09-16 20:04:04 UTC,WebKit (Chrome),2025-09-16 20:04:04 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
avature.net,13401366123900891,13402527606832499,13401901180412959,13402527605494568,,,,,,,2025-09-03 09:42:03 UTC,WebKit (Chrome),2025-09-16 20:20:06 UTC,WebKit (Chrome),2025-09-09 14:19:40 UTC,WebKit (Chrome),2025-09-16 20:20:05 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
openai.com,13401541508448996,13402528638055054,13402528557078807,13402528579758340,,,,,,,2025-09-05 10:25:08 UTC,WebKit (Chrome),2025-09-16 20:37:18 UTC,WebKit (Chrome),2025-09-16 20:35:57 UTC,WebKit (Chrome),2025-09-16 20:36:19 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
kali.org,13402529239439154,13402529239439154,13402529082145186,13402529505905469,,,,,,,2025-09-16 20:47:19 UTC,WebKit (Chrome),2025-09-16 20:47:19 UTC,WebKit (Chrome),2025-09-16 20:44:42 UTC,WebKit (Chrome),2025-09-16 20:51:45 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
gitlab.com,13402529506990282,13402529507596330,13402529519739757,13402529519739757,,,,,,,2025-09-16 20:51:46 UTC,WebKit (Chrome),2025-09-16 20:51:47 UTC,WebKit (Chrome),2025-09-16 20:51:59 UTC,WebKit (Chrome),2025-09-16 20:51:59 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
didierstevens.com,13402529707782601,13402529900570715,13402528965472964,13402529927196843,,,,,,,2025-09-16 20:55:07 UTC,WebKit (Chrome),2025-09-16 20:58:20 UTC,WebKit (Chrome),2025-09-16 20:42:45 UTC,WebKit (Chrome),2025-09-16 20:58:47 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
sajinshivdas.com,13402527747573593,13402560193073259,13402527755270629,13402527822733292,,,,,,,2025-09-16 20:22:27 UTC,WebKit (Chrome),2025-09-17 05:23:13 UTC,WebKit (Chrome),2025-09-16 20:22:35 UTC,WebKit (Chrome),2025-09-16 20:23:42 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
recaptcha.net,13400676118792010,13402588263082751,,,,,,,,,2025-08-26 10:01:58 UTC,WebKit (Chrome),2025-09-17 13:11:03 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
wappalyzer.com,13402588314728209,13402588314728209,,,,,,,,,2025-09-17 13:11:54 UTC,WebKit (Chrome),2025-09-17 13:11:54 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
yatebts.com,13402601699012456,13402602267207193,13402601702848592,13402602262636838,,,,,,,2025-09-17 16:54:59 UTC,WebKit (Chrome),2025-09-17 17:04:27 UTC,WebKit (Chrome),2025-09-17 16:55:02 UTC,WebKit (Chrome),2025-09-17 17:04:22 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
canva.com,13401366236386922,13402605870369681,,,,,,,,,2025-09-03 09:43:56 UTC,WebKit (Chrome),2025-09-17 18:04:30 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
vimeo.com,13402707136955528,13402707136955528,,,,,,,,,2025-09-18 22:12:16 UTC,WebKit (Chrome),2025-09-18 22:12:16 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
overleaf.com,13401366144594540,13402707653900244,13401367279208950,13402178388896484,,,,,,,2025-09-03 09:42:24 UTC,WebKit (Chrome),2025-09-18 22:20:53 UTC,WebKit (Chrome),2025-09-03 10:01:19 UTC,WebKit (Chrome),2025-09-12 19:19:48 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
dropbox.com,13402710473365480,13402710575477504,13402710477221064,13402710646701303,,,,,,,2025-09-18 23:07:53 UTC,WebKit (Chrome),2025-09-18 23:09:35 UTC,WebKit (Chrome),2025-09-18 23:07:57 UTC,WebKit (Chrome),2025-09-18 23:10:46 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
waec.org,13402710418261965,13402710482244919,13402710409318494,13402710694291068,,,,,,,2025-09-18 23:06:58 UTC,WebKit (Chrome),2025-09-18 23:08:02 UTC,WebKit (Chrome),2025-09-18 23:06:49 UTC,WebKit (Chrome),2025-09-18 23:11:34 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
waec.ng,13402710727444072,13402710821273657,13402710734090007,13402710828159083,,,,,,,2025-09-18 23:12:07 UTC,WebKit (Chrome),2025-09-18 23:13:41 UTC,WebKit (Chrome),2025-09-18 23:12:14 UTC,WebKit (Chrome),2025-09-18 23:13:48 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
waecdirect.org,13402710864145688,13402710864145688,13402710866880298,13402711376568027,,,,,,,2025-09-18 23:14:24 UTC,WebKit (Chrome),2025-09-18 23:14:24 UTC,WebKit (Chrome),2025-09-18 23:14:26 UTC,WebKit (Chrome),2025-09-18 23:22:56 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
indeed.com,13402727749604967,13402727760345129,13402727752304644,13402727752304644,,,,,,,2025-09-19 03:55:49 UTC,WebKit (Chrome),2025-09-19 03:56:00 UTC,WebKit (Chrome),2025-09-19 03:55:52 UTC,WebKit (Chrome),2025-09-19 03:55:52 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
shine.com,13402727851104027,13402727851749872,13402727854292840,13402727854292840,,,,,,,2025-09-19 03:57:31 UTC,WebKit (Chrome),2025-09-19 03:57:31 UTC,WebKit (Chrome),2025-09-19 03:57:34 UTC,WebKit (Chrome),2025-09-19 03:57:34 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
v0.app,13402082363412231,13402728136698977,13402082368033278,13402524397499822,,,,,,,2025-09-11 16:39:23 UTC,WebKit (Chrome),2025-09-19 04:02:16 UTC,WebKit (Chrome),2025-09-11 16:39:28 UTC,WebKit (Chrome),2025-09-16 19:26:37 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
resumehelp.com,13402731171249050,13402731175624712,13402731174514171,13402731174514171,,,,,,,2025-09-19 04:52:51 UTC,WebKit (Chrome),2025-09-19 04:52:55 UTC,WebKit (Chrome),2025-09-19 04:52:54 UTC,WebKit (Chrome),2025-09-19 04:52:54 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
resumegenius.com,13402605886763927,13402731241673569,13402605889615949,13402732497845615,,,,,,,2025-09-17 18:04:46 UTC,WebKit (Chrome),2025-09-19 04:54:01 UTC,WebKit (Chrome),2025-09-17 18:04:49 UTC,WebKit (Chrome),2025-09-19 05:14:57 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
pinterest.com,13402728397156476,13402732526538137,13402728401755435,13402732513215686,,,,,,,2025-09-19 04:06:37 UTC,WebKit (Chrome),2025-09-19 05:15:26 UTC,WebKit (Chrome),2025-09-19 04:06:41 UTC,WebKit (Chrome),2025-09-19 05:15:13 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
zety.com,13402727939512158,13402738808012814,13402727944054801,13402738817322672,,,,,,,2025-09-19 03:58:59 UTC,WebKit (Chrome),2025-09-19 07:00:08 UTC,WebKit (Chrome),2025-09-19 03:59:04 UTC,WebKit (Chrome),2025-09-19 07:00:17 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
globaluni.ru,13402498671766077,13402828723462365,13402498674868689,13402500589571609,,,,,,,2025-09-16 12:17:51 UTC,WebKit (Chrome),2025-09-20 07:58:43 UTC,WebKit (Chrome),2025-09-16 12:17:54 UTC,WebKit (Chrome),2025-09-16 12:49:49 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
ega.ae,13401366205860777,13402828810608983,13402007171976712,13402007171976712,,,,,,,2025-09-03 09:43:25 UTC,WebKit (Chrome),2025-09-20 08:00:10 UTC,WebKit (Chrome),2025-09-10 19:46:11 UTC,WebKit (Chrome),2025-09-10 19:46:11 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
nationalgriefawarenessday.com,13402728467488766,13402831317341376,13402728483414670,13402831319804049,,,,,,,2025-09-19 04:07:47 UTC,WebKit (Chrome),2025-09-20 08:41:57 UTC,WebKit (Chrome),2025-09-19 04:08:03 UTC,WebKit (Chrome),2025-09-20 08:41:59 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
pypi.org,13402529002257309,13402529883183608,13402529006746564,13402831616653495,,,,,,,2025-09-16 20:43:22 UTC,WebKit (Chrome),2025-09-16 20:58:03 UTC,WebKit (Chrome),2025-09-16 20:43:26 UTC,WebKit (Chrome),2025-09-20 08:46:56 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
project-mct.vercel.app,13402859550869390,13402859678828029,13402859555625917,13402859686699933,,,,,,,2025-09-20 16:32:30 UTC,WebKit (Chrome),2025-09-20 16:34:38 UTC,WebKit (Chrome),2025-09-20 16:32:35 UTC,WebKit (Chrome),2025-09-20 16:34:46 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
coinmarketcap.com,13402198180563435,13402868285913521,,,,,,,,,2025-09-13 00:49:40 UTC,WebKit (Chrome),2025-09-20 18:58:05 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
fireeye.market,13402871103744216,13402871103744216,13402871108973737,13402871186182011,,,,,,,2025-09-20 19:45:03 UTC,WebKit (Chrome),2025-09-20 19:45:03 UTC,WebKit (Chrome),2025-09-20 19:45:08 UTC,WebKit (Chrome),2025-09-20 19:46:26 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
atlassian.com,13402872394254318,13402872400004892,13402872399936486,13402872399936486,,,,,,,2025-09-20 20:06:34 UTC,WebKit (Chrome),2025-09-20 20:06:40 UTC,WebKit (Chrome),2025-09-20 20:06:39 UTC,WebKit (Chrome),2025-09-20 20:06:39 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
productschool.com,13402872410251713,13402872414679956,,,,,,,,,2025-09-20 20:06:50 UTC,WebKit (Chrome),2025-09-20 20:06:54 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null,,null,,null
perforce.com,13402872427600164,13402872427600164,13402872427674191,13402872427674191,,,,,,,2025-09-20 20:07:07 UTC,WebKit (Chrome),2025-09-20 20:07:07 UTC,WebKit (Chrome),2025-09-20 20:07:07 UTC,WebKit (Chrome),2025-09-20 20:07:07 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
studyin.lt,13402875283703639,13402875342178139,13402875287852523,13402875347288217,,,,,,,2025-09-20 20:54:43 UTC,WebKit (Chrome),2025-09-20 20:55:42 UTC,WebKit (Chrome),2025-09-20 20:54:47 UTC,WebKit (Chrome),2025-09-20 20:55:47 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
mcgill.ca,13402875453777076,13402880330797827,13402875489151931,13402881159438574,,,,,,,2025-09-20 20:57:33 UTC,WebKit (Chrome),2025-09-20 22:18:50 UTC,WebKit (Chrome),2025-09-20 20:58:09 UTC,WebKit (Chrome),2025-09-20 22:32:39 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
sans.org,13402356539245582,13402884329930192,13402356570178368,13402882418435576,,,,,,,2025-09-14 20:48:59 UTC,WebKit (Chrome),2025-09-20 23:25:29 UTC,WebKit (Chrome),2025-09-14 20:49:30 UTC,WebKit (Chrome),2025-09-20 22:53:38 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
master-cyberus.eu,13402886282166530,13402886512583721,13402886299505091,13402886515181996,,,,,,,2025-09-20 23:58:02 UTC,WebKit (Chrome),2025-09-21 00:01:52 UTC,WebKit (Chrome),2025-09-20 23:58:19 UTC,WebKit (Chrome),2025-09-21 00:01:55 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
france-visas.gouv.fr,13402886719609482,13402949569187265,13402886741756156,13402886835922767,,,,,,,2025-09-21 00:05:19 UTC,WebKit (Chrome),2025-09-21 17:32:49 UTC,WebKit (Chrome),2025-09-21 00:05:41 UTC,WebKit (Chrome),2025-09-21 00:07:15 UTC,WebKit (Chrome),,null,,null,,null,,null,,null,,null
