# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History
# DB Description,Browsing History & Downloads
# Table,segment_usage
# Table Description,segment_usage
# Total Rows in DB,252
# Export Timestamp,2026-04-02 09:56:00 UTC
# MD5 Hash of Source DB,51e141f58bb3628ad263c1aeb53c797a

id,segment_id,time_slot,visit_count,time_slot__HUMAN,time_slot__FORMAT,visit_count__HUMAN,visit_count__FORMAT
67,24,13400706600000000,1,2025-08-26 18:30:00 UTC,WebKit (Chrome),,unknown
68,9,13400706600000000,2,2025-08-26 18:30:00 UTC,WebKit (Chrome),,unknown
69,39,13400706600000000,1,2025-08-26 18:30:00 UTC,WebKit (Chrome),,unknown
70,40,13400793000000000,6,2025-08-27 18:30:00 UTC,WebKit (Chrome),,unknown
71,41,13400793000000000,1,2025-08-27 18:30:00 UTC,WebKit (Chrome),,unknown
72,42,13400793000000000,1,2025-08-27 18:30:00 UTC,WebKit (Chrome),,unknown
73,9,13400793000000000,1,2025-08-27 18:30:00 UTC,WebKit (Chrome),,unknown
74,6,13400793000000000,1,2025-08-27 18:30:00 UTC,WebKit (Chrome),,unknown
75,43,13400793000000000,1,2025-08-27 18:30:00 UTC,WebKit (Chrome),,unknown
76,28,13400793000000000,1,2025-08-27 18:30:00 UTC,WebKit (Chrome),,unknown
77,44,13400879400000000,2,2025-08-28 18:30:00 UTC,WebKit (Chrome),,unknown
78,9,13400879400000000,2,2025-08-28 18:30:00 UTC,WebKit (Chrome),,unknown
79,45,13400879400000000,1,2025-08-28 18:30:00 UTC,WebKit (Chrome),,unknown
80,46,13400879400000000,1,2025-08-28 18:30:00 UTC,WebKit (Chrome),,unknown
81,9,13400965800000000,2,2025-08-29 18:30:00 UTC,WebKit (Chrome),,unknown
82,47,13400965800000000,1,2025-08-29 18:30:00 UTC,WebKit (Chrome),,unknown
83,46,13401052200000000,3,2025-08-30 18:30:00 UTC,WebKit (Chrome),,unknown
84,14,13401052200000000,2,2025-08-30 18:30:00 UTC,WebKit (Chrome),,unknown
85,27,13401052200000000,1,2025-08-30 18:30:00 UTC,WebKit (Chrome),,unknown
86,9,13401052200000000,4,2025-08-30 18:30:00 UTC,WebKit (Chrome),,unknown
