# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History
# DB Description,Browsing History & Downloads
# Table,segments
# Table Description,URL path segments for omnibox
# Total Rows in DB,127
# Export Timestamp,2026-04-02 09:56:00 UTC
# MD5 Hash of Source DB,51e141f58bb3628ad263c1aeb53c797a

id,name,url_id,url_id__DOMAIN,url_id__CATEGORY
95,http://foorilla.com/,3719,3719,Other
96,http://impartial-gopher-34.convex.app/,3915,3915,Other
97,http://convex.dev/try-chef/ABUBAK7906,3928,3928,Other
98,http://vercel.com/login/v0,641,641,Other
99,http://vercel.com/,4026,4026,Other
100,http://nura-dev-eight.vercel.app/,716,716,Other
101,http://foorilla.com/hiring/jobs/alternance-analyste-cybersecurite-grc-hf-boulogne-billancourt-france-1003426/,3778,3778,Other
102,http://github.com/digitalsleuth/,4371,4371,Other
103,http://onedrive.live.com/edit.aspx,4399,4399,Other
104,http://github.com/aminuastroboy,4408,4408,Other
105,http://mcgill.ca/gradapplicants/program/,4507,4507,Other
106,http://tryhackme.com/room/androidhacking101,4628,4628,Other
107,http://github.com/ethic-bakeery/sqlite-forensic-exporter,4661,4661,Other
108,http://192.168.56.106/,4691,4691,Other
109,http://192.168.186.129/,4801,4801,Other
110,http://studocu.com/in/document/srm-institute-of-science-and-technology/fiber-optics-and-optoelectronics/may2022-mcqs/94653150,4907,4907,Other
111,http://github.com/CiscoDevNet/dne-dna-code,5028,5028,Other
112,http://developer.cisco.com/sandbox.html,5102,5102,Other
113,http://192.168.186.128/,5130,5130,Other
114,http://bakeery-wtf-4621880.postman.co/,5153,5153,Other
115,http://192.168.186.128/v2/version,5156,5156,Other
116,http://postman.com/product/api-client/,5138,5138,Other
117,http://192.168.186.128/v2/projects,5190,5190,Other
118,http://192.168.186.128/static/web-ui/server/1/project/,5195,5195,Other
119,http://192.168.186.128/static/web-ui/bundled,5131,5131,Other
120,http://192.168.186.128/static/web-ui/servers,5136,5136,Other
121,http://postman.com/downloads/postman-agent/,5160,5160,Other
122,http://virustotal.com/gui/,1324,1324,Other
123,http://od.globaluni.ru/lk/statement,4099,4099,Other
124,http://glodep.eu/,5335,5335,Other
125,http://europubhealth.org/admission-requirements/,5341,5341,Other
126,http://mundusmapp.org/,5346,5346,Other
127,http://bluecapesecurity.com/courses/c2-attack-and-defend/,784,784,Other
